country,year,sex,age,suicides_no,population,suicides_100k, gdp_per_year,gdp_per_capita,generation
Argentina,1985,male,75+ years,202.0,363000,55.65,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,55-74 years,485.0,1997000,24.29,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,35-54 years,414.0,3346300,12.37,"88,41,66,68,900",3264.0,Silent
Argentina,1985,female,55-74 years,210.0,2304000,9.11,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,25-34 years,177.0,2234200,7.92,"88,41,66,68,900",3264.0,Boomers
Argentina,1985,female,75+ years,41.0,537000,7.64,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,15-24 years,156.0,2415200,6.46,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,female,35-54 years,142.0,3355300,4.23,"88,41,66,68,900",3264.0,Silent
Argentina,1985,female,25-34 years,65.0,2185200,2.97,"88,41,66,68,900",3264.0,Boomers
Argentina,1985,female,15-24 years,69.0,2354200,2.93,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,male,5-14 years,16.0,3044200,0.53,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,female,5-14 years,11.0,2955200,0.37,"88,41,66,68,900",3264.0,Generation X
Argentina,1986,male,75+ years,230.0,365000,63.01,"1,10,93,44,42,763",4072.0,G.I. Generation
Argentina,1986,male,55-74 years,530.0,2008300,26.39,"1,10,93,44,42,763",4072.0,G.I. Generation
Argentina,1986,male,35-54 years,478.0,3365200,14.2,"1,10,93,44,42,763",4072.0,Silent
Argentina,1986,male,25-34 years,209.0,2246900,9.3,"1,10,93,44,42,763",4072.0,Boomers
Argentina,1986,female,75+ years,48.0,540200,8.89,"1,10,93,44,42,763",4072.0,G.I. Generation
Argentina,1986,female,55-74 years,201.0,2317100,8.67,"1,10,93,44,42,763",4072.0,G.I. Generation
Argentina,1986,male,15-24 years,186.0,2428900,7.66,"1,10,93,44,42,763",4072.0,Generation X
Argentina,1986,female,35-54 years,188.0,3374300,5.57,"1,10,93,44,42,763",4072.0,Silent
Argentina,1986,female,25-34 years,96.0,2197600,4.37,"1,10,93,44,42,763",4072.0,Boomers
Argentina,1986,female,15-24 years,101.0,2367600,4.27,"1,10,93,44,42,763",4072.0,Generation X
Argentina,1986,male,5-14 years,10.0,3061400,0.33,"1,10,93,44,42,763",4072.0,Generation X
Argentina,1986,female,5-14 years,7.0,2971900,0.24,"1,10,93,44,42,763",4072.0,Generation X
Argentina,1987,male,75+ years,200.0,369800,54.08,"1,11,10,61,91,358",4026.0,G.I. Generation
Argentina,1987,male,55-74 years,532.0,2034500,26.15,"1,11,10,61,91,358",4026.0,G.I. Generation
Argentina,1987,male,35-54 years,482.0,3409100,14.14,"1,11,10,61,91,358",4026.0,Silent
Argentina,1987,female,75+ years,57.0,547000,10.42,"1,11,10,61,91,358",4026.0,G.I. Generation
Argentina,1987,female,55-74 years,224.0,2347300,9.54,"1,11,10,61,91,358",4026.0,G.I. Generation
Argentina,1987,male,25-34 years,192.0,2276200,8.44,"1,11,10,61,91,358",4026.0,Boomers
Argentina,1987,male,15-24 years,179.0,2460600,7.27,"1,11,10,61,91,358",4026.0,Generation X
Argentina,1987,female,35-54 years,209.0,3418300,6.11,"1,11,10,61,91,358",4026.0,Silent
Argentina,1987,female,25-34 years,89.0,2226200,4.0,"1,11,10,61,91,358",4026.0,Boomers
Argentina,1987,female,15-24 years,93.0,2398400,3.88,"1,11,10,61,91,358",4026.0,Generation X
Argentina,1987,male,5-14 years,15.0,3101300,0.48,"1,11,10,61,91,358",4026.0,Generation X
Argentina,1987,female,5-14 years,14.0,3010700,0.47,"1,11,10,61,91,358",4026.0,Generation X
Argentina,1988,male,75+ years,216.0,392000,55.1,"1,26,20,68,17,196",4458.0,G.I. Generation
Argentina,1988,male,55-74 years,550.0,2079000,26.46,"1,26,20,68,17,196",4458.0,G.I. Generation
Argentina,1988,male,35-54 years,477.0,3503000,13.62,"1,26,20,68,17,196",4458.0,Silent
Argentina,1988,female,75+ years,61.0,602000,10.13,"1,26,20,68,17,196",4458.0,G.I. Generation
Argentina,1988,female,55-74 years,233.0,2412000,9.66,"1,26,20,68,17,196",4458.0,G.I. Generation
Argentina,1988,male,25-34 years,215.0,2276000,9.45,"1,26,20,68,17,196",4458.0,Boomers
Argentina,1988,male,15-24 years,211.0,2524000,8.36,"1,26,20,68,17,196",4458.0,Generation X
Argentina,1988,female,35-54 years,198.0,3508000,5.64,"1,26,20,68,17,196",4458.0,Silent
Argentina,1988,female,15-24 years,101.0,2459000,4.11,"1,26,20,68,17,196",4458.0,Generation X
Argentina,1988,female,25-34 years,61.0,2228000,2.74,"1,26,20,68,17,196",4458.0,Boomers
Argentina,1988,male,5-14 years,20.0,3210000,0.62,"1,26,20,68,17,196",4458.0,Generation X
Argentina,1988,female,5-14 years,11.0,3115000,0.35,"1,26,20,68,17,196",4458.0,Generation X
Argentina,1989,male,75+ years,208.0,400000,52.0,"76,63,68,98,036",2670.0,G.I. Generation
Argentina,1989,male,55-74 years,548.0,2105000,26.03,"76,63,68,98,036",2670.0,G.I. Generation
Argentina,1989,male,35-54 years,462.0,3561000,12.97,"76,63,68,98,036",2670.0,Silent
Argentina,1989,female,75+ years,65.0,622000,10.45,"76,63,68,98,036",2670.0,G.I. Generation
Argentina,1989,male,25-34 years,219.0,2287000,9.58,"76,63,68,98,036",2670.0,Boomers
Argentina,1989,female,55-74 years,201.0,2446000,8.22,"76,63,68,98,036",2670.0,G.I. Generation
Argentina,1989,male,15-24 years,186.0,2575000,7.22,"76,63,68,98,036",2670.0,Generation X
